NEIGHBOURHOOD_158,HOOD_158,OFFENCE_YEAR,OFFENCE_CATEGORY,Total_Tickets
Agincourt North,129,2014,Aggressive Driving,402
Agincourt North,129,2014,All CAIA,156
Agincourt North,129,2014,Distracted Driving,52
Agincourt North,129,2014,Other HTA,424
Agincourt North,129,2014,Speeding,93
Agincourt North,129,2015,Aggressive Driving,552
Agincourt North,129,2015,All CAIA,215
Agincourt North,129,2015,Distracted Driving,60
Agincourt North,129,2015,Other HTA,579
Agincourt North,129,2015,Speeding,342
Agincourt North,129,2016,Aggressive Driving,455
Agincourt North,129,2016,All CAIA,184
Agincourt North,129,2016,Distracted Driving,42
Agincourt North,129,2016,Other HTA,497
Agincourt North,129,2016,Speeding,130
Agincourt North,129,2017,Aggressive Driving,270
Agincourt North,129,2017,All CAIA,108
Agincourt North,129,2017,Distracted Driving,27
Agincourt North,129,2017,Other HTA,344
Agincourt North,129,2017,Speeding,120
Agincourt North,129,2018,Aggressive Driving,285
Agincourt North,129,2018,All CAIA,128
Agincourt North,129,2018,Distracted Driving,21
Agincourt North,129,2018,Other HTA,365
Agincourt North,129,2018,Speeding,323
Agincourt North,129,2019,Aggressive Driving,288
Agincourt North,129,2019,All CAIA,107
Agincourt North,129,2019,Distracted Driving,14
Agincourt North,129,2019,Other HTA,351
Agincourt North,129,2019,Speeding,114
Agincourt North,129,2020,Aggressive Driving,201
Agincourt North,129,2020,All CAIA,95
Agincourt North,129,2020,Distracted Driving,12
Agincourt North,129,2020,Other HTA,213
Agincourt North,129,2020,Speeding,383
Agincourt North,129,2021,Aggressive Driving,213
Agincourt North,129,2021,All CAIA,99
Agincourt North,129,2021,Distracted Driving,22
Agincourt North,129,2021,Other HTA,198
Agincourt North,129,2021,Speeding,461
Agincourt North,129,2022,Aggressive Driving,213
Agincourt North,129,2022,All CAIA,85
Agincourt North,129,2022,Distracted Driving,23
Agincourt North,129,2022,Other HTA,243
Agincourt North,129,2022,Speeding,341
Agincourt North,129,2023,Aggressive Driving,226
Agincourt North,129,2023,All CAIA,108
Agincourt North,129,2023,Distracted Driving,22
Agincourt North,129,2023,Other HTA,278
Agincourt North,129,2023,Speeding,552
Agincourt South-Malvern West,128,2014,Aggressive Driving,254
Agincourt South-Malvern West,128,2014,All CAIA,170
Agincourt South-Malvern West,128,2014,Distracted Driving,94
Agincourt South-Malvern West,128,2014,Other HTA,550
Agincourt South-Malvern West,128,2014,Speeding,87
Agincourt South-Malvern West,128,2015,Aggressive Driving,846
Agincourt South-Malvern West,128,2015,All CAIA,392
Agincourt South-Malvern West,128,2015,Distracted Driving,163
