"id","Date","ticket_type","age_group","neighbourhood","LicensesIssued"
1,2023-01-01,"Aggressive Driving","Youth","Henry Farm",1
2,2023-01-02,"CAIA","Adult","Avondale",0
3,2023-01-03,"Distracted Driving","Youth","Henry Farm",0
4,2023-01-04,"CAIA","Youth","Henry Farm",2
5,2023-01-05,"Aggressive Driving","Adult","Avondale",1
6,2023-01-06,"Distracted Driving","Youth","Henry Farm",0
7,2023-01-07,"Distracted Driving","Adult","Clanton Park",2
8,2023-01-08,"Distracted Driving","Youth","Henry Farm",2
9,2023-01-09,"Speeding","Youth","Avondale",0
10,2023-01-10,"CAIA","Youth","Henry Farm",2
11,2023-01-11,"CAIA","Adult","Henry Farm",1
12,2023-01-12,"Aggressive Driving","Adult","Avondale",0
13,2023-01-13,"CAIA","Adult","Henry Farm",4
14,2023-01-14,"Aggressive Driving","Adult","Avondale",3
15,2023-01-15,"CAIA","Adult","Avondale",1
16,2023-01-16,"Distracted Driving","Adult","Clanton Park",1
17,2023-01-17,"Distracted Driving","Adult","Henry Farm",2
18,2023-01-18,"Distracted Driving","Adult","Clanton Park",1
19,2023-01-19,"CAIA","Adult","Clanton Park",2
20,2023-01-20,"Aggressive Driving","Youth","Avondale",1
21,2023-01-21,"Distracted Driving","Adult","Clanton Park",1
22,2023-01-22,"Distracted Driving","Youth","Henry Farm",1
23,2023-01-23,"Speeding","Adult","Henry Farm",2
24,2023-01-24,"Distracted Driving","Youth","Avondale",0
25,2023-01-25,"Aggressive Driving","Adult","Avondale",2
26,2023-01-26,"CAIA","Adult","Avondale",1
27,2023-01-27,"Distracted Driving","Adult","Clanton Park",1
28,2023-01-28,"Speeding","Adult","Clanton Park",0
29,2023-01-29,"CAIA","Youth","Avondale",0
30,2023-01-30,"Speeding","Youth","Henry Farm",0
